Date,英伟达,特斯拉,微软,亚马逊,Meta
2021-06-14,17.956636428833008,205.89666748046875,249.4155731201172,169.19349670410156,334.14776611328125
2021-06-15,17.727182388305664,199.7866668701172,247.94723510742188,169.156494140625,334.1279602050781
2021-06-16,17.748857498168945,201.6233367919922,247.00674438476562,170.7624969482422,328.5020751953125
2021-06-17,18.592937469482422,205.53334045410156,250.38487243652344,174.46200561523438,333.88983154296875
2021-06-18,18.574499130249023,207.77000427246094,248.97410583496094,174.34500122070312,327.0931396484375
2021-06-21,18.363733291625977,206.94332885742188,252.045166015625,172.697998046875,329.7026672363281
2021-06-22,18.821645736694336,207.90333557128906,254.80905151367188,175.27200317382812,336.39019775390625
2021-06-23,18.99156379699707,218.85667419433594,254.5787353515625,175.1909942626953,337.9380187988281
2021-06-24,19.13929557800293,226.60667419433594,255.9415283203125,172.45399475097656,340.50787353515625
2021-06-25,18.965402603149414,223.9566650390625,254.3388214111328,170.072998046875,338.7119140625
2021-06-28,19.916109085083008,229.57333374023438,257.8896484375,172.1945037841797,352.8708801269531
2021-06-29,19.957714080810547,226.9199981689453,260.46173095703125,172.40699768066406,349.1500244140625
2021-06-30,19.93355369567871,226.56666564941406,259.98175048828125,172.00799560546875,345.00262451171875
2021-07-01,20.142332077026367,225.97332763671875,260.6536865234375,171.64849853515625,351.6305847167969
2021-07-02,20.4163818359375,226.3000030517578,266.4598083496094,175.5489959716797,351.9381408691406
2021-07-06,20.627153396606445,219.86000061035156,266.4693603515625,183.78700256347656,350.0331726074219
2021-07-07,20.301525115966797,214.88333129882812,268.6479187011719,184.82899475097656,347.7609558105469
2021-07-08,19.83414649963379,217.60333251953125,266.23907470703125,186.57049560546875,342.9586181640625
2021-07-09,19.981138229370117,218.98333740234375,266.7381591796875,185.9669952392578,347.6915588378906
2021-07-12,20.441791534423828,228.56666564941406,266.1430969238281,185.92750549316406,350.4101867675781
2021-07-13,20.18020248413086,222.84666442871094,269.6556091308594,183.8679962158203,349.3485107421875
2021-07-14,19.773103713989258,217.7933349609375,271.12396240234375,184.08399963378906,344.9232482910156
2021-07-15,18.90087127685547,216.86666870117188,269.70355224609375,181.55999755859375,341.77789306640625
2021-07-16,18.09839630126953,214.74000549316406,269.4349365234375,178.68150329589844,338.50360107421875
2021-07-19,18.715017318725586,215.4066619873047,265.8456726074219,177.47950744628906,334.3263854980469
2021-07-20,18.547849655151367,220.1666717529297,268.0624694824219,178.6595001220703,338.9997253417969
2021-07-21,19.343093872070312,218.42999267578125,270.0586242675781,179.25999450683594,343.5341491699219
2021-07-22,19.52645492553711,216.4199981689453,274.6076965332031,181.90150451660156,348.45550537109375
2021-07-23,19.49057960510254,214.4600067138672,277.9953308105469,182.83200073242188,366.9106140136719
