date,close__晶澳科技,close__国轩高科,close__智飞生物,close__三花智控,close__圣邦股份,close__大秦铁路,close__华能水电,close__上港集团,close__皖通高速,close__建发股份,peTTM__晶澳科技,peTTM__国轩高科,peTTM__智飞生物,peTTM__三花智控,peTTM__圣邦股份,peTTM__大秦铁路,peTTM__华能水电,peTTM__上港集团,peTTM__皖通高速,peTTM__建发股份
2018-01-02,5.7949452,21.52716889,17.82260097,10.4208293,9.38525217,5.49646086,4.33467024,5.31538124,7.88109088,6.67751405,316.019983,26.908829,147.604208,39.220915,64.195498,10.236499,72.115601,20.228129,17.800842,10.238469
2018-01-03,5.9412822,21.96570334,18.25123794,10.6178506,9.5143464,5.59278438,4.27784872,5.39401114,7.86027814,6.6483546,324.000286,27.456995,151.154118,39.962445,65.078507,10.41589,71.170265,20.527362,17.753833,10.193759
2018-01-04,5.8681137,21.99493897,18.40654119,10.6710996,9.4838517,5.57472372,4.3427876,5.92083147,7.86721572,6.7066735,320.010134,27.493539,152.440317,40.162858,64.869922,10.382254,72.250649,22.532221,17.769502,10.283178
2018-01-05,5.8827474,21.80003477,18.66123852,10.543302,9.250059,5.66502702,4.23726192,5.62990084,7.7700896,6.78248807,320.808164,27.24991,154.549684,39.681866,63.270771,10.550433,70.495025,21.42506,17.550126,10.399423
2018-01-08,5.7900673,21.76105393,18.59290509,10.5273273,9.04777749,5.88175494,4.20479248,5.64562682,7.91577878,6.87579831,315.753973,27.201184,153.983756,39.621742,61.887157,10.954063,69.954834,21.484907,17.879191,10.542493
2018-01-09,5.7803115,21.88774166,20.22669528,11.0544924,8.82516618,5.93593692,4.15608832,5.55127094,7.9435291,6.84663886,315.221953,27.359543,167.51457,41.605835,60.364487,11.05497,69.144546,21.125827,17.94187,10.497784
2018-01-10,5.7315325,21.61487578,21.02806005,10.7775976,8.32098714,5.94195714,4.02621056,5.51195599,7.83252782,6.75916051,312.561852,27.018462,174.151358,40.563685,56.915882,11.066182,66.983779,20.976211,17.691154,10.363655
2018-01-11,5.7412883,21.6343662,20.8727568,10.862796,8.42466912,5.88777516,4.03432792,5.48836702,7.85334056,6.87579831,313.093872,27.042825,172.865159,40.884346,57.625071,10.965274,67.118827,20.886441,17.738163,10.542493
2018-01-12,5.7120209,22.2190788,21.0591207,10.703049,8.36266323,5.8697145,3.91256752,5.51981898,7.7354017,6.91662154,311.497811,27.773712,174.408598,40.283106,57.200949,10.931639,65.093108,21.006134,17.471777,10.605086
2018-01-15,5.7168988,21.9267225,20.59321095,10.2291329,7.78428042,5.8095123,3.70963352,5.54340795,7.56889978,6.73583295,311.763822,27.408269,170.55,38.499426,53.244787,10.819519,61.716909,14.169506,17.095703,10.327888
