时间,Open,High,Low,Close,Volume
2026-05-18 09:30:00,1337.0,1339.949951171875,1336.6600341796875,1339.1800537109375,0.0
2026-05-18 09:31:00,1338.8800048828125,1340.199951171875,1338.0,1338.0,115900.0
2026-05-18 09:32:00,1339.699951171875,1340.5999755859375,1338.02001953125,1340.47998046875,78830.0
2026-05-18 09:33:00,1340.489990234375,1340.949951171875,1340.43994140625,1340.43994140625,44800.0
2026-05-18 09:34:00,1340.4100341796875,1340.449951171875,1338.1300048828125,1338.18994140625,38866.0
2026-05-18 09:35:00,1338.1800537109375,1340.489990234375,1338.1800537109375,1340.489990234375,45104.0
2026-05-18 09:36:00,1340.5,1342.6600341796875,1340.5,1342.2900390625,63391.0
2026-05-18 09:37:00,1342.219970703125,1342.5,1339.010009765625,1340.0,62700.0
2026-05-18 09:38:00,1340.0,1340.0699462890625,1338.0,1338.0,76300.0
2026-05-18 09:39:00,1337.75,1337.969970703125,1336.2099609375,1336.6600341796875,72173.0
2026-05-18 09:40:00,1336.6500244140625,1337.6400146484375,1335.6600341796875,1336.989990234375,45200.0
2026-05-18 09:41:00,1336.989990234375,1337.3399658203125,1336.010009765625,1337.3399658203125,19900.0
2026-05-18 09:42:00,1337.3399658203125,1337.3399658203125,1336.3399658203125,1336.510009765625,24800.0
2026-05-18 09:43:00,1337.0,1337.3299560546875,1336.280029296875,1337.18994140625,23500.0
2026-05-18 09:44:00,1336.300048828125,1337.0999755859375,1336.280029296875,1337.010009765625,13600.0
2026-05-18 09:45:00,1337.010009765625,1338.9100341796875,1337.0,1338.8599853515625,31800.0
2026-05-18 09:46:00,1338.8399658203125,1339.9000244140625,1338.8399658203125,1339.550048828125,26500.0
2026-05-18 09:47:00,1339.8900146484375,1339.9300537109375,1337.9300537109375,1337.989990234375,18600.0
2026-05-18 09:48:00,1337.5,1337.8900146484375,1336.5,1336.6800537109375,23400.0
2026-05-18 09:49:00,1336.6800537109375,1336.6800537109375,1334.9000244140625,1334.9000244140625,36200.0
2026-05-18 09:50:00,1334.5,1335.0,1333.6800537109375,1333.97998046875,43100.0
2026-05-18 09:51:00,1333.97998046875,1335.0,1333.5,1333.530029296875,23900.0
2026-05-18 09:52:00,1333.510009765625,1333.510009765625,1333.06005859375,1333.06005859375,20800.0
2026-05-18 09:53:00,1333.06005859375,1333.449951171875,1332.5,1333.1800537109375,45900.0
2026-05-18 09:54:00,1333.1800537109375,1333.1800537109375,1332.22998046875,1332.699951171875,21000.0
2026-05-18 09:55:00,1332.6199951171875,1332.6199951171875,1332.010009765625,1332.010009765625,17600.0
2026-05-18 09:56:00,1332.010009765625,1332.010009765625,1331.9100341796875,1331.9100341796875,23500.0
2026-05-18 09:57:00,1331.9100341796875,1331.9200439453125,1331.7900390625,1331.7900390625,15400.0
2026-05-18 09:58:00,1331.8399658203125,1331.8499755859375,1331.81005859375,1331.81005859375,26600.0
2026-05-18 09:59:00,1331.81005859375,1331.8399658203125,1331.7900390625,1331.81005859375,22300.0
2026-05-18 10:00:00,1331.77001953125,1331.81005859375,1330.5799560546875,1330.5799560546875,34100.0
2026-05-18 10:01:00,1330.5799560546875,1330.6700439453125,1330.1099853515625,1330.1099853515625,18400.0
2026-05-18 10:02:00,1329.5,1329.5,1328.510009765625,1328.52001953125,72200.0
2026-05-18 10:03:00,1328.52001953125,1329.300048828125,1328.52001953125,1329.18994140625,30300.0
2026-05-18 10:04:00,1328.800048828125,1328.800048828125,1328.199951171875,1328.199951171875,36700.0
2026-05-18 10:05:00,1328.199951171875,1328.260009765625,1328.1300048828125,1328.1700439453125,22100.0
2026-05-18 10:06:00,1328.1700439453125,1328.2900390625,1328.1700439453125,1328.280029296875,16400.0
2026-05-18 10:07:00,1328.5,1328.550048828125,1328.4599609375,1328.5400390625,19800.0
2026-05-18 10:08:00,1328.550048828125,1328.550048828125,1326.97998046875,1326.97998046875,67500.0
2026-05-18 10:09:00,1327.0,1327.0,1326.550048828125,1326.550048828125,22100.0
2026-05-18 10:10:00,1326.550048828125,1326.5899658203125,1326.3599853515625,1326.3699951171875,16600.0
2026-05-18 10:11:00,1326.3499755859375,1326.3599853515625,1326.050048828125,1326.050048828125,25800.0
2026-05-18 10:12:00,1326.050048828125,1326.06005859375,1325.7099609375,1325.8800048828125,35800.0
2026-05-18 10:13:00,1325.800048828125,1326.0,1325.760009765625,1326.0,20500.0
2026-05-18 10:14:00,1325.9200439453125,1326.31005859375,1325.9200439453125,1326.300048828125,18200.0
2026-05-18 10:15:00,1326.2900390625,1326.3800048828125,1326.050048828125,1326.050048828125,19000.0
2026-05-18 10:16:00,1326.06005859375,1326.0699462890625,1326.0,1326.0,15800.0
2026-05-18 10:17:00,1326.010009765625,1326.010009765625,1325.6199951171875,1325.6199951171875,28800.0
2026-05-18 10:18:00,1325.5899658203125,1327.510009765625,1325.5899658203125,1327.510009765625,30300.0
2026-05-18 10:19:00,1327.510009765625,1328.4300537109375,1327.0,1327.0,21000.0
2026-05-18 10:20:00,1326.8800048828125,1326.989990234375,1326.1400146484375,1326.1400146484375,11700.0
2026-05-18 10:21:00,1326.0699462890625,1326.47998046875,1326.050048828125,1326.1800537109375,19700.0
2026-05-18 10:22:00,1326.300048828125,1326.47998046875,1325.5699462890625,1326.47998046875,32200.0
2026-05-18 10:23:00,1326.75,1326.75,1325.8900146484375,1326.6500244140625,26000.0
2026-05-18 10:24:00,1326.5999755859375,1327.4200439453125,1326.5999755859375,1326.97998046875,20000.0
2026-05-18 10:25:00,1327.0,1327.6400146484375,1326.969970703125,1326.969970703125,12100.0
2026-05-18 10:26:00,1326.989990234375,1327.0,1326.5999755859375,1326.5999755859375,17900.0
2026-05-18 10:27:00,1325.7900390625,1326.489990234375,1325.5999755859375,1326.489990234375,24300.0
2026-05-18 10:28:00,1326.699951171875,1327.6700439453125,1326.699951171875,1327.6700439453125,20760.0
2026-05-18 10:29:00,1327.6700439453125,1327.949951171875,1327.0699462890625,1327.0699462890625,11700.0
2026-05-18 10:30:00,1327.0699462890625,1327.47998046875,1327.0699462890625,1327.0899658203125,10200.0
2026-05-18 10:31:00,1327.0799560546875,1327.1600341796875,1327.030029296875,1327.030029296875,13500.0
2026-05-18 10:32:00,1327.0400390625,1327.1600341796875,1327.02001953125,1327.1099853515625,10400.0
2026-05-18 10:33:00,1327.0899658203125,1327.1700439453125,1327.050048828125,1327.1600341796875,21700.0
2026-05-18 10:34:00,1327.1600341796875,1328.010009765625,1327.1300048828125,1327.9599609375,28000.0
