Date,AAPL,AMD,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,QQQ,SPY,TSLA,WMT,XOM
2019-01-02,36.784149594963864,18.010000228881836,73.26000213623047,20.206630314113195,,50.93899348883383,138.88400196422663,104.69839038278491,78.10153106574877,37.590694277355276,127.98562432545164,92.93151315658217,3.2386513988649237,29.20629851713796,75.70771447086693,144.32265187506513,220.61559600600654,20.406667709350586,27.45768611832483,48.322925366332356
2019-01-03,34.19316388930112,18.420000076293945,76.00050354003906,20.928300956216862,,52.10287264182408,144.23382032641197,104.70655469980112,80.94318776111764,37.49459724124461,133.6412450754704,93.4449439176932,3.316743020992833,29.287586191218786,75.63289094483142,145.86154034542182,222.63360250759496,20.46666717529297,27.928101724389194,50.22425660381218
2019-01-04,34.3237823692983,17.549999237060547,76.5,21.062563346312,,51.700692372040024,146.2030026184313,103.87310337141133,81.3288600818049,37.43854285700539,132.96654555439258,93.09022767485408,3.2460882235070763,28.74572738390899,75.54968783967034,145.61299696675098,222.0596066578405,20.399999618530273,27.928100109987565,49.965966797181295
2019-01-07,35.31410959435231,19.440000534057617,80.1155014038086,21.448566436767578,,53.605447431420956,148.09611603632962,104.28982505902819,82.41204922513974,38.095223282645094,136.48890751648534,94.88259071833426,3.433506575098347,29.172437638249104,76.43960601572968,149.70402616078695,226.6337381587478,21.447999954223633,28.050948507995056,51.12111108343488
2019-01-08,35.51834826233486,21.190000534057617,83.2344970703125,21.582832269409106,,53.854886302804,150.2513148333532,104.73925206541375,83.39675722209812,37.838950718818964,138.80076833438764,96.18948066800932,3.6365415129519585,29.50433384192682,77.09659661347642,152.49507375198274,230.33787517212102,22.797332763671875,28.482405061085068,52.04668724286172
2019-01-09,35.92920207933708,20.889999389648438,82.64900207519531,21.54087840250195,,53.95358207163841,148.83143207263535,106.08750240394285,82.72388302937857,37.702813782099774,141.8369470305985,96.95498487233168,3.5177951002393217,29.436596345463116,77.08829980553438,153.0685409584192,231.00150634898134,22.366666793823242,28.677159129551143,52.08973487251607
2019-01-10,36.216559392156526,19.760000228881836,82.05049896240234,21.44856790172059,,53.306426813330056,148.45953836087773,104.33888762813751,82.07559020181355,37.36646725578018,141.96590471650677,96.3575314662056,3.5153149904373824,29.274035149852086,75.59127344480841,152.55245589713277,229.83562239676925,22.293333053588867,28.12884791626331,51.70946151536557
2019-01-11,36.306794806835,19.469999313354492,82.02749633789062,21.423395044093493,,53.05648645219858,147.98632477765767,105.40929576013819,81.96893621618484,37.870985393242684,142.0353652116674,96.32950947959222,3.578035177313761,28.671212182339584,76.24000689800033,153.25019550994455,231.10913472146507,22.805999755859375,28.461433511824687,51.55162662723845
2019-01-14,35.824705095839064,19.959999084472656,80.75,21.62478526566252,,52.23527672360006,147.4960909131491,105.19684458344457,81.13193358126229,37.838954206644125,140.89431617189211,95.12527574993925,3.6372853095467237,28.820232238410288,76.09859663504785,152.29431718414716,230.37373745469992,22.825332641601562,28.308626288559285,51.09241646491663
2019-01-15,35.68696070331559,20.440000534057617,81.5999984741211,21.994011953575175,,52.46686220785265,150.70764757368974,105.01708516045863,81.14834504004016,37.55065779068041,144.8731265321422,95.6947360882696,3.7622305208363853,28.85409703083236,75.80752941492261,152.9347617719515,231.23478935380658,22.333332061767578,28.605254206222796,51.62337776159791
2019-01-16,36.35428582738021,20.399999618530273,84.21099853515625,23.605169295829242,,54.05325069106837,158.04358641930622,105.7443112260387,83.9055316273759,37.95907873836868,147.83984351932185,98.26188401920484,3.742645684392983,28.847321451325186,76.29820320730684,155.46772548444244,233.93432363010817,22.985332489013672,28.743079292089448,51.24309900425672
2019-01-17,36.62027276354135,19.489999771118164,84.0,23.78139493217314,,53.953570755399724,165.60769522671785,104.35520933064274,83.79065235671546,37.57468011140739,145.8057694036846,98.01918722218798,3.656870718578732,28.413829339279598,76.03827672164714,154.68397601699826,233.1989338658102,23.08066749572754,28.859927114640783,51.07807373602286
2019-01-18,37.4039811406747,20.3700008392334,85.5999984741211,24.352013372589145,,54.97512970149426,169.35172580772695,106.14467033869832,85.15281378387728,37.83894960897951,148.58398408281647,100.31564744519525,3.811067993420753,29.030207502303643,76.59150623028533,157.50364919538566,237.65645419931408,21.53333282470703,29.04869600529332,52.57045260868492
2019-01-22,37.1451202112431,20.479999542236328,84.05000305175781,24.318446693141322,,54.35079086117299,169.4531771365779,104.75556893671121,84.58659254032969,38.19931899366396,148.0382726761916,99.65283062231616,3.860153532195278,28.725399237880733,76.60826899512051,156.81545841888152,237.5128871540556,20.321332931518555,29.10861731535359,51.93907087457907
2019-01-23,36.60841555173996,20.030000686645508,82.80000305175781,24.51984966264145,,53.89753253264309,166.95997117972863,105.00070927304311,84.88202099024743,38.29542444236518,147.12542791447743,99.06472274050611,3.743389738594542,28.440933272160873,78.94701332360783,155.5823932601915,236.78641176316992,19.5,29.623983745075616,51.66643377385841
2019-01-24,36.59891278758119,20.059999465942383,82.05349731445312,24.12544662490133,,53.681824076200236,165.83590623464238,104.9925705189384,83.80705558529077,38.52766253523318,143.51378237179517,99.75552832489328,3.785534389656913,28.29869347744115,79.03922306437194,155.49641192028798,236.06896391865726,18.868667602539062,29.42322847702648,51.01351069084893
2019-01-25,36.924261855530716,20.989999771118164,83.5250015258789,24.570194411951938,,54.263012668104324,168.88692877836291,104.69839281555683,84.93946907010519,38.34346926324425,146.33166107014597,100.11026008479142,3.853459043646147,27.838106443323422,79.14818557666236,157.24562230927899,238.22144949546475,19.625999450683594,29.58802697427523,51.709475214964016
2019-01-28,36.99787950771421,20.31999969482422,82.17949676513672,24.603756828155564,,54.05672457402515,167.33181921832818,104.43690755566374,84.43069595096047,37.81492311310051,146.89723255465768,99.19543676731266,3.3851647195512267,27.4317140695147,78.22612713207191,155.82137212670534,236.23042822316916,19.527332305908203,28.922858118524488,50.95610026119888
2019-01-29,37.107126146086244,20.260000228881836,81.5634994506836,24.7883716445849,,53.608918268991935,168.18547160845446,105.36842504323839,85.24307620436133,37.798910444577615,146.93691851028444,97.90716971892232,3.3752476815432093,26.754387525526553,78.62008660914546,155.99342219509322,236.70569546782997,19.684667587280273,28.99476932852559,51.44398986242571
2019-01-30,38.7695241919444,21.489999771118164,81.1500015258789,24.687675728405033,,53.426431833040915,169.79124354004256,106.52875154192918,85.45644569938909,37.83894650831662,145.0814848865154,97.6644734839579,3.338557088935969,27.61458692935535,78.46919971818062,156.18461820924225,237.76408624411582,20.030000686645508,28.96779557069225,51.494219590032756
2019-01-31,39.44874416345685,23.020000457763672,84.64250183105469,24.125441438667487,,55.156137781450056,169.11511918165664,107.55835611922033,84.85739364601888,38.31944917235236,164.31058063740673,96.89899362528345,3.4027660905454074,28.272542240912912,79.15657853053963,159.33889993471396,239.92556330170092,20.066667556762695,28.35356537716181,51.867308498791104
2019-02-01,39.6506063279521,24.610000610351562,81.94400024414062,23.999577450554465,,55.65451311988307,167.34029810305466,109.51129419029482,85.3415534161555,38.82396263069216,164.54870098449308,96.88031649357477,3.5822498677131627,29.29056663503662,80.76602243349,159.94105923122956,242.2933017562561,20.3613338470459,28.740084653376968,53.75429719695829
2019-02-04,39.757470562179186,24.43000030517578,81.1500015258789,23.890481732715905,,55.491862423764644,165.48097584483494,109.46223260547296,85.16923562363036,39.00015608797194,164.40978301718607,96.03078993352754,3.6038177877095725,29.2700741006319,81.48693849267218,160.08442044122484,242.25736953247116,20.865333557128906,28.12284866243404,54.35699407066079
2019-02-05,41.05175531049415,23.420000076293945,82.16699981689453,24.209359463575367,,56.018510837262355,167.44170696916203,109.10269507804463,85.76826381882518,39.50466127642504,167.8329267133362,99.00870885703466,3.71016946739173,28.98994430520064,82.14076294254065,162.2637831080418,244.34726181736326,20.832666397094727,28.539334127436785,53.94087085413711
2019-02-06,41.47684858776138,23.6299991607666,83.5374984741211,24.05831334507705,,56.99246479954502,166.64727963741493,108.74317464284525,85.10358758971033,39.408560167971814,169.8669692977403,99.88620156741139,3.75057827797256,28.641489877303275,81.52047700078772,163.51596586918228,244.66105631256863,21.305999755859375,28.593265965849703,54.227856915665036
2019-02-07,40.94252936711456,22.989999771118164,81.25,23.949225897741595,,55.13530738050181,165.04144077880653,108.22838058084771,84.72610893938074,39.37653796088313,166.89032404823783,98.19654910934894,3.7466116929059834,28.771300383515765,81.74678840906691,161.5660379124992,243.00187466224952,20.886667251586914,28.497386043391533,53.775834926501076
2019-02-08,40.304814408336355,22.329999923706055,79.30000305175781,23.621955594721435,,54.29524926151284,162.0327082204755,107.81982613075745,83.766020944257,39.53670388197255,163.18939817032873,97.44973867200079,3.587455765379998,28.375028287573905,81.31927457377517,159.3962564582772,241.03766485692213,20.455333709716797,28.865928274662537,53.509569373125096
2019-02-11,40.79613104681893,23.049999237060547,80.04900360107422,23.781391810445836,,54.735110719226135,163.0131147288983,108.11398680337747,83.50344363098455,39.69686338706422,166.59264030078126,99.13940086810365,3.629104539625841,28.88745517257411,81.72164146851024,161.69980866387036,243.23508259502825,20.773332595825195,28.659181370604216,53.59661696039784
2019-02-12,40.56955604622166,23.43000030517578,80.19999694824219,24.016354271223737,,55.0951360411319,163.15675715277828,107.9260546358217,83.65932499584626,39.79296372659065,165.5607800649606,99.08337141563842,3.6690171760124177,28.498015875540936,82.4676677508727,162.13957674071395,244.32926977124873,21.079999923706055,29.009748165873592,54.46717251182189
2019-02-13,40.87722227186637,22.979999542236328,82.3499984741211,24.226145252950694,,56.18760746750366,165.582381303321,109.55211040055346,84.43890990749432,39.72889824126197,164.0923085265819,100.3529830783297,3.77710475493226,28.641486028529417,83.23049112903196,164.07029550768934,246.6701146070692,20.823333740234375,29.153567206374333,54.82990248541454
2019-02-14,40.476531198600185,22.739999771118164,81.2249984741211,23.798179459774417,,55.78889947400959,162.44682770348754,109.7400632061801,84.08605315645559,37.39848632092693,161.91933925465693,99.2420989688955,3.789004063817399,28.491178051704924,82.73593935244186,162.87553452871506,245.54896116071745,20.225332260131836,29.26742346669311,55.32319758597478
2019-02-15,40.84384055765046,23.579999923706055,81.39299774169922,24.133838414308926,,56.49804534986026,163.29200965905636,110.46731489967907,85.25949418472419,36.75784936682875,163.22903914001554,100.73572824776988,4.039637602448917,28.955789714845938,82.94548124018853,164.90189386624917,247.86293690858662,20.299999237060547,29.656937550799302,55.816524010114186
2019-02-19,40.476530193148335,23.6299991607666,80.05000305175781,24.27649055574896,,55.37432660682805,166.20777197619068,111.24358174736295,86.08830316105826,36.29336896961505,159.25028100750322,100.62370576121305,3.8899016190983438,28.86012506439593,82.61856880204553,163.84092252536684,247.97056799727545,20.437332153320312,30.675666549466815,56.266286991346426
2019-02-20,40.82952266876856,24.139999389648438,81.5,24.419142674727695,,55.98131675352632,167.95724270637845,111.10466440661432,86.33449134574421,35.96502433162127,160.98666667542744,101.11907169005332,3.9124622246012457,29.05827228347313,83.64123519687365,164.7872151228341,249.1634173076106,20.29400062561035,30.504884252505498,56.80313819823057
