Date,AAPL,AMD,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,QQQ,SPY,TSLA,WMT,XOM
2019-02-26,68280800,48470100,53316000,53153200,,35026000,2499800,5106900,15465400,20463200,13784100,21536700,488464000,16548959,7115300,21939700,56844100,128737500,25464300,10990600
2019-02-27,111341600,62649300,62976000,48128600,,22092000,1804200,4378100,9968800,17827500,12697500,21487100,500256000,16475074,6013600,25162000,56921600,167758500,23706900,12398200
2019-02-28,112861600,39384900,60518000,62358100,,27422000,2964300,10133200,15156900,22533900,11114200,29083900,324944000,39002427,10575400,25085500,69268300,157810500,34127700,14597900
2019-03-01,103544800,48084000,99498000,45771500,,34086000,2580500,5641600,13813300,16291600,11097800,23501200,357188000,26667781,7733200,31431200,78880500,343671000,31057500,15419400
2019-03-04,109744800,48147700,123348000,56893200,,35490000,2683600,8377700,12466300,15973800,18894700,26608000,409992000,22805820,6895300,38063500,106494600,256452000,23051400,18089900
2019-03-05,78949600,35462600,73630000,39932500,,40094000,2338600,6568900,10856600,13062300,28187900,19538300,362924000,26529812,6274600,22319900,59114600,281470500,18357900,13745500
2019-03-06,83241600,60479400,79920000,41672000,,23602000,2247500,6236900,9070800,14232100,21531700,17687000,403524000,22410359,4622300,27194600,75039800,155032500,14089800,18633600
2019-03-07,99185600,52186300,99140000,53908600,,30086000,3567800,6100400,12705700,12084000,18306500,25339000,450104000,29046132,8408600,39407400,94885100,141637500,18379800,16541700
2019-03-08,95997600,49967700,93340000,40860700,,23694000,3162700,7046700,10582400,15579100,13184800,22818400,422416000,31306119,5144500,39303200,85795800,132294000,16977000,16211300
2019-03-11,128044000,54420200,77528000,40709300,,30032000,2669000,6150400,9763200,22126900,18884000,26491600,859728000,29161545,7544400,30518400,65098900,110884500,16035900,11060900
2019-03-12,129870400,56410600,72290000,34450000,,42220000,1977400,5552900,10219100,19348500,12155300,26132700,579576000,24170539,7597500,33953500,79667500,112561500,15211500,11320000
2019-03-13,124130000,56705800,71040000,54683300,,25888000,1904500,6446900,13022200,16222500,11973300,35513800,768900000,23715316,9883300,42426100,80639200,102670500,16446900,10260200
2019-03-14,94318000,42818600,58932000,45219100,,27302000,1482300,8493600,10926500,18504100,18037400,30763400,519384000,32119596,8590200,23751500,67518400,106551000,14777400,9976700
2019-03-15,156171600,46519900,151018000,82346200,,51886000,2985200,11922500,24811700,47254500,37135400,54681100,661484000,74768652,30802700,38192000,81309000,221782500,43800000,25316400
2019-03-18,104879200,34731800,108582000,58568600,,24442000,3354900,7369600,12935500,24006400,37524200,31207600,486992000,18994345,8442800,32935100,62199800,154215000,17310300,9840600
2019-03-19,126585600,156052200,127284000,55455100,,29788000,3284900,5882500,12889300,14987000,25611500,37588700,854972000,26403227,7334100,36893300,90268100,177009000,16243200,13936500
2019-03-20,124140800,151292100,125312000,81689900,,41508000,5033500,5475700,14920700,13376100,20211500,28113300,719148000,23499035,7513800,50105000,84609200,103623000,18969300,13133600
2019-03-21,204136800,129610300,115356000,77444400,,28150000,4031500,5765100,19751000,20043000,16223000,29854400,824312000,24262553,8221000,42428500,79550400,89206500,19653000,10117000
2019-03-22,169630800,115323300,127260000,118851600,,34422000,5703100,6528800,31115200,19055900,16389200,33624500,747644000,19620105,11035900,70794500,122659300,131184000,20124300,12497700
2019-03-25,175381200,78438200,102076000,65568000,,27576000,3751000,4500300,21032300,11668200,12631200,27067100,525212000,19823316,6955500,46336500,85575200,153225000,16222200,11320400
2019-03-26,199202000,75754100,97318000,59878500,,30752000,2910100,4758600,15987100,11434900,15437900,26097700,703508000,20849279,6909400,33248100,68125900,110263500,14837700,9472800
2019-03-27,119393600,88585300,86496000,57621700,,29428000,2343800,6764900,12753200,11543600,10620300,22733400,474372000,19455048,6037100,37096700,72224700,131688000,25413600,7258700
2019-03-28,83121600,64667500,60860000,45872300,,22402000,2343400,4602100,12454100,11121100,10443000,18334800,480264000,16915541,6793700,30368200,56238500,101611500,24162900,7412300
2019-03-29,94256000,53502800,66416000,83446300,,30890000,2632800,7168400,14523400,16045600,13455500,25399800,456896000,21681834,7535400,35205500,82186800,89869500,22319700,10889200
2019-04-01,111448000,63000300,84776000,91751100,,27706000,3562600,5885200,17499300,11522700,10381500,22789100,483824000,20345046,6626500,30969500,77617900,121656000,25517400,10816400
2019-04-02,91062800,53358800,68962000,66694000,,18288000,2247000,5517800,10295400,8495000,23946500,18142300,440920000,18625129,6088800,22645200,40070400,82183500,18822000,7646000
2019-04-03,93087200,197650500,78522000,63110600,,22180000,3227900,5947000,11499200,12854500,27391100,22860700,783504000,16200402,5226500,31633500,68243200,118791000,17062500,8562900
2019-04-04,76457200,82191100,72478000,53712100,,21022000,2582300,5844600,11952100,7814900,17847700,20112800,457376000,12990972,4786100,28530800,48997500,355810500,12078900,9360600
2019-04-05,74106400,65662700,72810000,46383400,,20012000,2447100,4759700,9933700,7677600,9594100,15826200,481744000,15559043,4281800,25674700,58621700,195574500,13968000,10059100
2019-04-08,103526800,58002500,75056000,35272800,,21750000,1891500,4329600,8056300,9421300,7297400,15116200,424192000,15410323,8468600,22697500,53566300,156156000,16267200,9108200
2019-04-09,143072800,75539800,74288000,40535300,,19668000,2400900,5210300,9092200,8641800,19751000,17612000,439972000,18825072,5820300,25631900,66142300,88560000,13102500,8561600
2019-04-10,86781200,64368100,59280000,42669700,,15510000,1907100,4194100,10882300,8059900,11701500,16477200,444772000,13202615,5394300,24563000,52601500,105919500,12273300,10324300
2019-04-11,83603200,44801200,53096000,50440100,,16998000,2802100,4485200,11183800,7352400,8071000,14209100,374600000,20214877,5078400,20654100,55093100,147538500,16820700,9115100
2019-04-12,111042800,41048800,62288000,100192000,,24312000,5096600,5756800,25834100,10690000,12329800,19745100,471708000,21338546,6707900,24989100,69727800,101190000,15486000,16638700
