date,close
2022-01-04,175.8800
2022-01-05,158.3000
2022-01-06,162.9600
2022-01-07,157.0000
2022-01-10,156.5000
2022-01-11,152.1900
2022-01-12,154.9700
2022-01-13,155.1400
2022-01-14,157.4000
2022-01-17,161.7100
2022-01-18,161.3700
2022-01-19,157.9000
2022-01-20,158.8000
2022-01-21,153.0000
2022-01-24,155.5000
2022-01-25,148.4100
2022-01-26,149.9200
2022-01-27,146.6100
2022-01-28,139.1000
2022-02-07,143.8300
2022-02-08,140.9600
2022-02-09,143.2700
2022-02-10,145.0400
2022-02-11,141.3000
2022-02-14,139.5400
2022-02-15,145.3100
2022-02-16,145.8000
2022-02-17,149.3100
2022-02-18,145.9900
2022-02-21,144.4000
2022-02-22,146.1800
2022-02-23,153.9000
2022-02-24,151.7300
2022-02-25,154.7000
2022-02-28,153.3100
2022-03-01,153.1400
2022-03-02,150.5000
2022-03-03,148.3200
2022-03-04,154.7700
2022-03-07,150.0000
2022-03-08,150.6000
2022-03-09,154.2900
2022-03-10,159.2300
2022-03-11,157.8200
2022-03-14,154.3300
2022-03-15,146.8500
2022-03-16,160.5200
2022-03-17,162.8000
2022-03-18,161.5400
2022-03-21,159.2500
2022-03-22,159.7800
2022-03-23,157.9000
2022-03-24,154.4100
2022-03-25,153.0300
2022-03-28,149.8200
2022-03-29,141.8700
2022-03-30,146.5900
2022-03-31,141.0300
2022-04-01,140.4400
2022-04-06,134.8000
2022-04-07,132.9800
2022-04-08,134.3700
2022-04-11,123.5800
2022-04-12,127.0900
2022-04-13,123.3000
2022-04-14,130.6000
2022-04-15,132.4000
2022-04-18,139.8000
2022-04-19,135.2700
2022-04-20,133.5000
2022-04-21,132.7200
2022-04-22,130.0000
2022-04-25,123.0000
2022-04-26,115.9600
2022-04-27,125.0000
2022-04-28,118.5600
2022-04-29,124.8100
2022-05-05,124.9700
2022-05-06,119.3000
2022-05-09,117.1300
2022-05-10,122.4000
2022-05-11,129.3500
2022-05-12,128.6000
2022-05-13,126.4100
2022-05-16,124.8000
2022-05-17,129.7200
2022-05-18,134.8400
2022-05-19,137.6100
2022-05-20,142.2500
2022-05-23,148.2900
2022-05-24,141.3500
2022-05-25,141.1900
2022-05-26,139.8000
2022-05-27,138.9600
2022-05-30,142.0000
2022-05-31,143.6400
2022-06-01,143.8500
2022-06-02,145.0200
2022-06-06,143.9500
2022-06-07,139.8600
2022-06-08,142.5800
2022-06-09,136.6900
2022-06-10,136.7100
2022-06-13,133.6900
2022-06-14,131.5300
2022-06-15,130.6000
2022-06-16,131.1500
2022-06-17,131.1900
2022-06-20,133.3500
2022-06-21,130.4000
2022-06-22,126.6100
2022-06-23,128.2200
2022-06-24,132.0000
2022-06-27,133.3800
2022-06-28,139.9800
2022-06-29,136.6400
2022-06-30,142.2100
2022-07-01,138.8500
2022-07-04,130.1900
2022-07-05,130.5700
2022-07-06,131.2800
2022-07-07,129.3000
2022-07-08,135.2800
2022-07-11,128.9900
2022-07-12,126.0000
2022-07-13,124.5400
2022-07-14,126.1300
2022-07-15,126.3000
2022-07-18,122.9200
2022-07-19,121.9700
2022-07-20,124.7100
2022-07-21,126.6800
2022-07-22,123.1900
2022-07-25,120.6300
2022-07-26,121.5200
2022-07-27,118.6200
2022-07-28,119.3500
2022-07-29,118.2700
2022-08-01,119.2800
2022-08-02,117.6900
2022-08-03,122.2500
2022-08-04,124.5800
2022-08-05,130.0800
2022-08-08,127.7200
2022-08-09,128.8000
2022-08-10,125.9500
2022-08-11,128.4700
2022-08-12,126.7000
2022-08-15,124.7900
2022-08-16,123.5000
2022-08-17,123.2500
2022-08-18,123.6700
2022-08-19,119.3000
2022-08-22,119.6600
2022-08-23,118.2100
2022-08-24,114.9700
2022-08-25,114.3500
2022-08-26,114.9000
2022-08-29,114.4900
2022-08-30,112.5200
2022-08-31,115.9700
2022-09-01,112.9500
2022-09-02,113.2500
2022-09-05,111.2200
2022-09-06,112.7100
2022-09-07,116.6300
2022-09-08,115.3000
2022-09-09,114.9200
2022-09-13,114.1900
2022-09-14,112.4200
2022-09-15,108.6000
2022-09-16,106.2100
2022-09-19,104.5500
2022-09-20,105.4400
2022-09-21,102.3000
2022-09-22,101.0600
2022-09-23,98.2400
2022-09-26,98.3500
2022-09-27,99.9100
2022-09-28,97.4000
2022-09-29,96.2400
2022-09-30,93.7500
2022-10-10,85.5000
2022-10-11,83.3800
2022-10-12,83.4300
2022-10-13,82.3000
2022-10-14,86.4300
2022-10-17,86.7700
2022-10-18,85.4000
2022-10-19,84.1000
2022-10-20,87.4700
2022-10-21,85.1800
2022-10-24,85.5000
2022-10-25,83.8000
2022-10-26,86.6000
2022-10-27,86.8100
2022-10-28,82.9900
2022-10-31,82.2700
2022-11-01,85.8600
2022-11-02,87.2500
2022-11-03,90.2500
2022-11-04,90.9700
2022-11-07,90.1100
2022-11-08,88.9500
2022-11-09,88.1600
2022-11-10,86.7700
2022-11-11,89.0800
2022-11-14,92.7000
2022-11-15,101.9700
2022-11-16,103.2500
2022-11-17,107.9600
2022-11-18,103.7500
