name,pubDate,roe
中国平安,2017-04-28,0.058
宁波银行,2017-04-28,0.04631
中国电建,2017-04-28,0.027284
山金国际,2017-04-28,0.004978
北方稀土,2017-04-28,0.008935
领益智造,2017-04-28,0.010964
中天科技,2017-04-28,0.031192
广发证券,2017-04-28,0.026739
赛轮轮胎,2017-04-28,-0.011249
兴业银行,2017-04-29,0.045382
春秋航空,2017-04-29,0.040569
国泰海通,2017-04-29,0.025729
国电南瑞,2017-04-29,0.002016
浪潮信息,2017-04-29,0.01787
宁波港,2017-04-29,0.019513
东方电气,2017-04-29,0.007205
国投电力,2017-04-29,0.031913
中钨高新,2017-04-29,0.008077
同仁堂,2017-04-29,0.037024
伊利股份,2017-04-29,0.072407
中远海能,2017-04-29,0.020347
华电国际,2017-04-29,0.000278
中国中冶,2017-04-29,0.01958
南方航空,2017-04-29,0.035257
中国船舶,2017-04-29,-0.004823
中国神华,2017-04-29,0.038356
中国银行,2017-04-29,0.032586
上汽集团,2017-04-29,0.040552
中国太保,2017-04-29,0.015122
中国巨石,2017-04-29,0.041986
新华保险,2017-04-29,0.030434
江西铜业,2017-04-29,0.01154
盐湖股份,2017-04-29,-0.010851
招商证券,2017-04-29,0.021129
工商银行,2017-04-29,0.037869
交通银行,2017-04-29,0.030241
广汽集团,2017-04-29,0.083495
中国中铁,2017-04-29,0.018436
长江电力,2017-04-29,0.020878
农业银行,2017-04-29,0.04156
生益科技,2017-04-29,0.054725
格力电器,2017-04-29,0.071861
四川路桥,2017-04-29,0.009477
天山铝业,2017-04-29,0.0373
海尔智家,2017-04-29,0.063589
小商品城,2017-04-29,0.064938
中远海控,2017-04-29,0.014557
海航控股,2017-04-29,0.01455
中国中免,2017-04-29,0.055489
长电科技,2017-04-29,0.008312
中国银河,2017-04-29,0.01844
云南白药,2017-04-29,0.045073
光大银行,2017-04-29,0.03341
用友网络,2017-04-29,-0.029763
比亚迪,2017-04-29,0.011734
三花智控,2017-04-29,0.031587
光大证券,2017-04-29,0.01234
铜陵有色,2017-04-29,0.008629
中国铁建,2017-04-29,0.02171
泸州老窖,2017-04-29,0.06982
中信证券,2017-04-29,0.015959
华夏银行,2017-04-29,0.029245
兖矿能源,2017-04-29,0.039871
东方盛虹,2017-04-29,0.001102
紫金矿业,2017-04-29,0.035351
上港集团,2017-04-29,0.018335
方正证券,2017-04-29,0.01135
保利发展,2017-04-29,0.020951
士兰微,2017-04-29,0.013112
中航沈飞,2017-04-29,-0.023352
美的集团,2017-04-29,0.068728
徐工机械,2017-04-29,0.009815
牧原股份,2017-07-20,0.162495
海康威视,2017-07-22,0.136204
昆仑万维,2017-07-25,0.108171
贵州茅台,2017-07-28,0.15151
东方财富,2017-07-29,0.020115
国电南瑞,2017-07-29,0.040363
今世缘,2017-07-31,0.134735
山金国际,2017-08-01,0.027119
亿纬锂能,2017-08-01,0.113586
恒力石化,2017-08-01,0.094838
万华化学,2017-08-01,0.271341
TCL科技,2017-08-02,0.044534
华能国际,2017-08-02,0.010425
先导智能,2017-08-02,0.177731
福耀玻璃,2017-08-05,0.078158
大华股份,2017-08-07,0.113593
天孚通信,2017-08-08,0.080459
川投能源,2017-08-09,0.060032
中科曙光,2017-08-10,0.023275
厦门钨业,2017-08-10,0.068568
科大讯飞,2017-08-10,0.014085
东方盛虹,2017-08-10,0.041273
杰瑞股份,2017-08-10,0.003866
英维克,2017-08-11,0.065804
华夏银行,2017-08-11,0.063267
平安银行,2017-08-11,0.060702
申万宏源,2017-08-12,0.039097
中国动力,2017-08-12,0.022064
蓝思科技,2017-08-12,0.022117
华泰证券,2017-08-12,0.035559
恒立液压,2017-08-15,0.045369
双汇发展,2017-08-15,0.144325
卫星化学,2017-08-15,0.135487
智飞生物,2017-08-15,0.066095
荣盛石化,2017-08-15,0.084501
士兰微,2017-08-15,0.033598
