date,close
2022-01-04,286.9932870000
2022-01-05,281.9189129400
2022-01-06,278.9519292000
2022-01-07,272.6667300000
2022-01-10,266.5663896000
2022-01-11,268.0452600000
2022-01-12,263.6363776200
2022-01-13,259.6156987200
2022-01-14,255.0127146000
2022-01-17,258.2200147800
2022-01-18,261.8340043200
2022-01-19,256.7226585000
2022-01-20,256.9352461200
2022-01-21,259.0149076200
2022-01-24,253.9497765000
2022-01-25,248.0158090200
2022-01-26,263.9783664000
2022-01-27,264.7362874800
2022-01-28,254.3194941000
2022-02-07,247.9880802000
2022-02-08,237.0814110000
2022-02-09,250.4836740000
2022-02-10,249.4669506000
2022-02-11,261.2054844000
2022-02-14,270.9105714000
2022-02-15,276.7058947800
2022-02-16,276.5117930400
2022-02-17,274.6724479800
2022-02-18,276.0588889800
2022-02-21,272.9625040800
2022-02-22,268.7477234400
2022-02-23,272.4911141400
2022-02-24,268.4057346600
2022-02-25,267.8604012000
2022-02-28,270.1064356200
2022-03-01,274.7648773800
2022-03-02,276.4840642200
2022-03-03,265.0875192000
2022-03-04,261.5752020000
2022-03-07,251.7776856000
2022-03-08,253.2010983600
2022-03-09,253.2103413000
2022-03-10,271.7424360000
2022-03-11,265.3832932800
2022-03-14,247.7107920000
2022-03-15,239.3459313000
2022-03-16,249.8366682000
2022-03-17,258.8023200000
2022-03-18,253.5708159600
2022-03-21,253.6170306600
2022-03-22,250.2063858000
2022-03-23,250.9180921800
2022-03-24,243.4590396000
2022-03-25,238.2829932000
2022-03-28,222.9859275000
2022-03-29,224.5017696600
2022-03-30,235.3252524000
2022-03-31,235.6025406000
2022-04-01,239.2165301400
2022-04-06,231.8591499000
2022-04-07,231.4617034800
2022-04-08,228.7627650000
2022-04-11,212.4304900200
2022-04-12,233.6707661400
2022-04-13,236.9889816000
2022-04-14,251.8886008800
2022-04-15,245.5849158000
2022-04-18,244.2077177400
2022-04-19,241.3701351600
2022-04-20,244.0228589400
2022-04-21,242.1650280000
2022-04-22,241.3146775200
2022-04-25,234.3085290000
2022-04-26,238.0149479400
2022-04-27,248.4964419000
2022-04-28,251.4079680000
2022-04-29,251.4079680000
2022-05-05,246.8419556400
2022-05-06,234.4564160400
2022-05-09,226.7940187800
2022-05-10,232.0624945800
2022-05-11,237.3494562600
2022-05-12,239.2165301400
2022-05-13,238.8468125400
2022-05-16,235.6487553000
2022-05-17,238.4678520000
2022-05-18,238.6434678600
2022-05-19,233.8463820000
2022-05-20,243.0708361200
2022-05-23,235.6949700000
2022-05-24,232.9590597600
2022-05-25,229.4652284400
2022-05-26,227.0066064000
2022-05-27,232.2658392600
2022-05-30,241.4718075000
2022-05-31,251.8701150000
2022-06-01,251.0382504000
2022-06-02,249.7904535000
2022-06-06,255.8260933200
2022-06-07,264.4405134000
2022-06-08,264.8102310000
2022-06-09,261.9171907800
2022-06-10,265.2446491800
2022-06-13,255.7521498000
2022-06-14,259.0796082000
2022-06-15,264.3573269400
2022-06-16,261.5752020000
2022-06-17,266.0857567200
2022-06-20,276.1790472000
2022-06-21,274.0993857000
2022-06-22,270.8735996400
2022-06-23,277.5470023200
2022-06-24,279.8762232000
2022-06-27,295.3119330000
2022-06-28,295.2190456000
2022-06-29,293.6760241400
2022-06-30,301.9116688000
2022-07-01,290.1531016500
2022-07-04,287.1321259000
2022-07-05,284.6595734400
2022-07-06,277.1861442000
2022-07-07,278.4874876000
2022-07-08,279.5750388700
2022-07-11,272.5384892000
2022-07-12,269.9265070900
2022-07-13,269.3409025600
2022-07-14,268.0953310200
2022-07-15,268.6995261700
2022-07-18,267.0542563000
2022-07-19,264.9163350000
2022-07-20,269.9265070900
2022-07-21,269.7498962000
2022-07-22,270.3076148000
2022-07-25,272.1759721100
2022-07-26,275.3270822000
2022-07-27,266.8869407200
2022-07-28,266.1061346800
2022-07-29,254.8495142700
2022-08-01,252.5163914600
2022-08-02,247.7200115000
2022-08-03,248.3520925800
2022-08-04,254.5055878000
2022-08-05,256.1136764300
2022-08-08,257.2662948700
2022-08-09,257.3778385900
2022-08-10,253.8270301700
2022-08-11,258.2701883500
2022-08-12,263.3082463700
2022-08-15,258.2980742800
2022-08-16,249.8486374900
2022-08-17,250.4156514000
2022-08-18,247.7850786700
2022-08-19,246.3628962400
2022-08-22,246.7254133300
2022-08-23,243.2117861500
2022-08-24,244.4666530000
2022-08-25,256.5505560000
2022-08-26,266.7103298300
2022-08-29,265.1951943000
2022-08-30,264.0704617900
2022-08-31,272.3525830000
2022-09-01,271.9621799800
2022-09-02,268.1975794300
2022-09-05,262.8527761800
2022-09-06,265.8644566200
2022-09-07,258.5211617200
2022-09-08,265.4647582900
2022-09-09,270.6887225100
2022-09-13,272.3525830000
2022-09-14,271.7019113000
2022-09-15,275.1411760000
2022-09-16,269.0992245000
2022-09-19,273.0497312500
2022-09-20,275.2248337900
2022-09-21,271.5624816500
2022-09-22,271.8320456400
2022-09-23,271.3208035900
2022-09-26,278.5339641500
2022-09-27,286.4628635800
2022-09-28,285.2265873500
2022-09-29,282.8376926800
2022-09-30,281.5456445900
2022-10-10,263.1502261000
2022-10-11,263.1502261000
2022-10-12,258.8743835000
2022-10-13,254.3196816000
2022-10-14,258.3538461400
2022-10-17,252.4420289800
2022-10-18,251.4381355000
2022-10-19,244.0948406000
2022-10-20,250.6852153900
2022-10-21,247.7200115000
2022-10-24,225.7273080400
2022-10-25,226.8985171000
2022-10-26,223.9704944500
2022-10-27,213.5132707000
2022-10-28,218.0958585300
2022-10-31,216.0044137800
2022-11-01,233.2936903800
2022-11-02,237.8762782100
2022-11-03,231.1371784600
2022-11-04,241.5200397300
2022-11-07,245.3961840000
2022-11-08,240.0606760600
2022-11-09,234.9110743200
2022-11-10,240.7392336900
2022-11-11,249.5604828800
2022-11-14,243.6486657200
2022-11-15,245.5820902000
2022-11-16,247.3574944100
2022-11-17,241.2783616700
2022-11-18,244.6804451300
2022-11-21,237.9506406900
2022-11-22,237.7740298000
2022-11-23,235.4502023000
2022-11-24,231.4439236900
2022-11-25,231.3416752800
2022-11-28,228.5623775900
2022-11-29,242.4774566600
2022-11-30,238.0064125500
2022-12-01,242.2543692200
2022-12-02,243.5278266900
2022-12-05,245.7679964000
2022-12-06,254.6914940000
2022-12-07,255.9091796100
2022-12-08,258.4096180000
2022-12-09,264.1634148900
2022-12-12,258.1307587000
2022-12-13,259.3856255500
2022-12-14,268.5600965200
2022-12-15,264.0425758600
2022-12-16,266.5987861100
2022-12-19,263.9775086900
2022-12-20,252.5907539400
2022-12-21,258.2608930400
2022-12-22,262.8527761800
2022-12-23,263.9496227600
2022-12-26,261.8488827000
2022-12-27,265.8458660000
2022-12-28,265.2416708500
2022-12-29,262.8992527300
2022-12-30,264.9070396900
2023-01-03,256.4018310400
2023-01-04,256.5505560000
2023-01-05,265.9016378600
2023-01-06,267.2401625000
2023-01-09,269.5453993800
2023-01-10,273.2821140000
2023-01-11,273.2821140000
2023-01-12,276.3495663000
2023-01-13,284.9570233600
2023-01-16,289.9207189000
2023-01-17,284.4364860000
2023-01-18,278.0506080300
2023-01-19,277.4464128800
2023-01-20,275.5129884000
2023-01-30,276.0056398300
2023-01-31,271.0047630500
2023-02-01,270.4284538300
2023-02-02,270.8653334000
2023-02-03,266.3849939800
2023-02-06,261.5235468500
2023-02-07,264.4887507400
2023-02-08,260.6962642600
2023-02-09,268.6344590000
2023-02-10,266.7846923100
2023-02-13,275.7918477000
2023-02-14,278.3945345000
2023-02-15,276.0892976200
2023-02-16,278.4038298100
2023-02-17,273.2821140000
2023-02-20,276.8793989700
2023-02-21,271.6740253700
2023-02-22,269.6755337200
2023-02-23,268.6344590000
2023-02-24,262.0161982800
2023-02-27,263.7544212500
2023-02-28,262.7319371500
2023-03-01,264.2656633000
2023-03-02,259.2461959000
2023-03-03,256.1601529800
2023-03-06,254.9703533000
2023-03-07,247.8594411500
2023-03-08,246.0282650800
2023-03-09,244.9221231900
2023-03-10,243.6765516500
2023-03-13,252.0888072000
2023-03-14,252.9253851000
2023-03-15,249.2072611000
2023-03-16,254.2360238100
2023-03-17,248.3985691300
2023-03-20,247.4690381300
2023-03-21,253.1577678500
2023-03-22,250.0903155500
2023-03-23,252.0051494100
2023-03-24,254.3196816000
2023-03-27,252.3583711900
2023-03-28,255.4630047300
2023-03-29,254.6821986900
2023-03-30,255.6210250000
2023-03-31,253.2042444000
2023-04-03,248.9469924200
2023-04-04,248.5194081600
2023-04-06,239.1311450600
2023-04-07,234.6043290900
2023-04-10,226.9078124100
2023-04-11,228.2556323600
2023-04-12,224.0913334800
2023-04-13,229.2874117700
2023-04-14,226.1641876100
2023-04-17,227.7350950000
2023-04-18,228.5066057300
2023-04-19,227.4469403900
2023-04-20,224.8907301400
2023-04-21,222.0370699700
2023-04-24,219.5831081300
2023-04-25,223.8124741800
2023-04-26,223.1432118600
2023-04-27,226.9171077200
2023-04-28,230.9512722600
2023-05-04,222.1672043100
2023-05-05,223.4592524000
2023-05-08,218.1609257000
2023-05-09,224.3144209200
2023-05-10,220.8100890500
2023-05-11,219.4343831700
2023-05-12,217.3243478000
2023-05-15,218.7465302300
2023-05-16,217.0454885000
2023-05-17,213.9780362000
2023-05-18,211.1336713400
2023-05-19,215.9114606800
2023-05-22,209.1351796900
2023-05-23,198.7151371800
2023-05-24,200.2209774000
2023-05-25,200.4533601500
2023-05-26,202.0428581600
2023-05-29,199.0218824100
2023-05-30,195.8428863900
2023-05-31,195.0434897300
2023-06-01,197.4416797100
2023-06-02,200.8995350300
2023-06-05,197.0605720000
2023-06-06,195.8521817000
2023-06-07,191.4090235200
2023-06-08,193.3517433100
2023-06-09,189.8102302000
2023-06-12,191.5298625500
2023-06-13,190.3679488000
2023-06-14,195.9730207300
2023-06-15,204.0971216700
2023-06-16,204.4689340700
2023-06-19,199.8770509300
2023-06-20,194.2719790000
2023-06-21,189.2525116000
2023-06-26,184.8302640000
2023-06-27,181.3245366000
2023-06-28,180.9938076000
2023-06-29,175.3714146000
2023-06-30,174.8800458000
2023-07-03,185.3688798000
2023-07-04,190.1975232000
2023-07-05,187.1453670000
2023-07-06,187.0319742000
2023-07-07,187.1926140000
2023-07-10,190.2825678000
2023-07-11,190.7928354000
2023-07-12,193.0890396000
2023-07-13,201.2344224000
2023-07-14,199.3823400000
2023-07-17,199.2311496000
2023-07-18,199.7697654000
2023-07-19,201.2249730000
2023-07-20,201.2722200000
2023-07-21,202.7085288000
2023-07-24,197.7759420000
2023-07-25,212.6115000000
2023-07-26,215.3707248000
2023-07-27,222.7223580000
2023-07-28,224.2153632000
2023-07-31,225.6327732000
2023-08-01,219.6985500000
2023-08-02,218.6118690000
2023-08-03,221.6545758000
2023-08-04,221.2577010000
2023-08-07,219.1599342000
2023-08-08,217.9976580000
2023-08-09,218.9425980000
