日期,原始价,前复权,后复权
2001-08-27,7.074920177459717,4.801459312438965,7.074920177459717
2001-08-28,7.335628032684326,4.978390693664551,7.335627457810044
2001-08-29,7.240100860595703,4.91356086730957,7.240101115351656
2001-08-30,7.3833909034729,5.010806083679199,7.383391331655799
2001-08-31,7.365479946136475,4.99865198135376,7.365482338121606
2001-09-03,7.361498832702637,4.9959492683410645,7.361499907451442
2001-09-04,7.455036163330078,5.059429168701172,7.455037142424433
2001-09-05,7.45105504989624,5.056726932525635,7.45105541437083
2001-09-06,7.303785800933838,4.95678186416626,7.3037869830958915
2001-09-07,7.100791931152344,4.819016933441162,7.100791221867992
2001-09-10,7.303785800933838,4.95678186416626,7.3037869830958915
2001-09-11,7.222189903259277,4.9014058113098145,7.22219071658434
2001-09-12,7.160496234893799,4.859536647796631,7.160496766791748
2001-09-13,7.142584800720215,4.847382068634033,7.142587070640993
2001-09-14,7.224180221557617,4.902756214141846,7.224180526686299
2001-09-17,7.132634162902832,4.840627670288086,7.13263450704839
2001-09-18,7.214230060577393,4.896003246307373,7.214230070943381
2001-09-19,7.347568035125732,4.986495018005371,7.347569128888044
2001-09-20,7.285873889923096,4.944625377655029,7.285874476478891
2001-09-21,7.176416873931885,4.870340824127197,7.176416652840543
2001-09-24,7.174427032470703,4.868990898132324,7.174427545355146
2001-09-25,7.210248947143555,4.893301486968994,7.210249045506339
2001-09-26,7.180397033691406,4.87304162979126,7.180396273044462
2001-09-27,7.303785800933838,4.95678186416626,7.3037869830958915
2001-09-28,7.381401062011719,5.009456157684326,7.381402224170402
2001-10-01,7.381401062011719,5.009456157684326,7.381402224170402
2001-10-02,7.381401062011719,5.009456157684326,7.381402224170402
2001-10-03,7.381401062011719,5.009456157684326,7.381402224170402
2001-10-04,7.381401062011719,5.009456157684326,7.381402224170402
2001-10-05,7.381401062011719,5.009456157684326,7.381402224170402
2001-10-08,7.279903888702393,4.940572738647461,7.279902938323329
2001-10-09,7.42319393157959,5.03781795501709,7.423193154627473
2001-10-10,7.184378147125244,4.875743389129639,7.184377298481503
2001-10-11,7.114723205566406,4.82847261428833,7.114724108281075
2001-10-12,7.164475917816162,4.862237453460693,7.164476386995666
2001-10-15,7.025166988372803,4.767693996429443,7.025167196128564
2001-10-16,6.925660133361816,4.700162410736084,6.925659828233134
2001-10-17,6.8062520027160645,4.6191253662109375,6.80625225146843
2001-10-18,6.774409770965576,4.59751558303833,6.774410371521155
2001-10-19,6.666943073272705,4.524580955505371,6.666941655368205
2001-10-22,6.525643825531006,4.428687572479248,6.525643357015705
2001-10-23,7.178407192230225,4.8716912269592285,7.178406462942503
2001-10-24,7.136613845825195,4.843328952789307,7.13661482986887
2001-10-25,6.941580772399902,4.710967540740967,6.941581119515053
2001-10-26,6.965463161468506,4.727175235748291,6.9654630564379305
2001-10-29,7.025166988372803,4.767693996429443,7.025167196128564
2001-10-30,6.965463161468506,4.727175235748291,6.9654630564379305
2001-10-31,6.975413799285889,4.73392915725708,6.975414917413972
2001-11-01,7.0789008140563965,4.80416202545166,7.078902608129881
2001-11-02,7.037107944488525,4.7757978439331055,7.037108164590002
2001-11-05,6.94556188583374,4.713670253753662,6.945563550185216
2001-11-06,6.995315074920654,4.747435092926025,6.995315828899808
2001-11-07,6.736598014831543,4.571854114532471,6.73659835865144
2001-11-08,6.7067461013793945,4.551594257354736,6.706745586189562
2001-11-09,6.79630184173584,4.612372875213623,6.796302498342073
2001-11-12,6.686844825744629,4.538089275360107,6.686846079936848
2001-11-13,6.694805145263672,4.543490886688232,6.694805320344685
2001-11-14,6.6967949867248535,4.544841289520264,6.696795130446644
2001-11-15,6.702765941619873,4.548893451690674,6.702765965985644
2001-11-16,6.784360885620117,4.604269504547119,6.7843622324971955
2001-11-19,6.975413799285889,4.73392915725708,6.975414917413972
2001-11-20,7.041088104248047,4.778498649597168,7.041087784793921
2001-11-21,7.001285076141357,4.751486778259277,7.001285961822247
2001-11-22,6.989345073699951,4.743382930755615,6.989344993360809
2001-11-23,6.961483001708984,4.724472999572754,6.961481328384328
2001-11-26,6.887847900390625,4.674500942230225,6.88784781536342
2001-11-27,6.965463161468506,4.727175235748291,6.9654630564379305
2001-11-28,6.975413799285889,4.73392915725708,6.975414917413972
2001-11-29,6.931631088256836,4.704215049743652,6.931631366388696
2001-11-30,7.033127784729004,4.773096561431885,7.033127841769523
2001-12-03,7.198308944702148,4.885199069976807,7.198310184894585
2001-12-04,7.206268787384033,4.890599727630615,7.206268020069299
2001-12-05,7.164475917816162,4.862237453460693,7.164476386995666
2001-12-06,7.176416873931885,4.870340824127197,7.176416652840543
2001-12-07,7.136613845825195,4.843328952789307,7.13661482986887
2001-12-10,7.1624860763549805,4.860886096954346,7.162485171660584
2001-12-11,7.092832088470459,4.813616752624512,7.09283408930984
2001-12-12,7.1187028884887695,4.831172943115234,7.118703025868431
2001-12-13,7.017207145690918,4.76229190826416,7.017207253104166
2001-12-14,7.005266189575195,4.754188060760498,7.005266284642727
2001-12-17,7.037107944488525,4.7757978439331055,7.037108164590002
2001-12-18,7.144575119018555,4.848731994628906,7.144576178126391
2001-12-19,7.156516075134277,4.8568339347839355,7.1565143361215835
2001-12-20,6.917699813842773,4.694760322570801,6.917699885208736
2001-12-21,7.138605117797852,4.84467887878418,7.138603937354268
2001-12-24,7.2480621337890625,4.918963432312012,7.2480617609926155
2001-12-25,7.263982772827148,4.929768085479736,7.263982349657972
2001-12-26,7.401301860809326,5.022961616516113,7.401302433039677
2001-12-27,7.427174091339111,5.040519714355469,7.4271741800645135
2001-12-28,7.42319393157959,5.03781795501709,7.423193154627473
2001-12-31,7.67195987701416,5.206645965576172,7.671960169132923
2002-01-01,7.67195987701416,5.206645965576172,7.671960169132923
2002-01-02,7.67195987701416,5.206645965576172,7.671960169132923
2002-01-03,7.67195987701416,5.206645965576172,7.671960169132923
2002-01-04,7.472947120666504,5.071584701538086,7.47294824380831
2002-01-07,7.4331440925598145,5.0445709228515625,7.433143610370391
2002-01-08,7.281894207000732,4.941924571990967,7.281894856274973
2002-01-09,7.337617874145508,4.979743003845215,7.337620078378249
2002-01-10,7.411252975463867,5.029714107513428,7.411252186166034
2002-01-11,7.174427032470703,4.868990898132324,7.174427545355146
2002-01-14,7.184378147125244,4.875743389129639,7.184377298481503
2002-01-15,7.271943092346191,4.935171604156494,7.271944400532054
2002-01-16,7.234130859375,4.909509181976318,7.2341309824292175
2002-01-17,6.9774041175842285,4.735279083251953,6.97740402489937
2002-01-18,7.293835163116455,4.950028896331787,7.293836527352973
2002-01-21,7.138605117797852,4.84467887878418,7.138603937354268
2002-01-22,7.252041816711426,4.921665191650391,7.252042786429656
2002-01-23,7.486877918243408,5.081038475036621,7.486878319755147
2002-01-24,7.421203136444092,5.0364670753479,7.421202641908952
2002-01-25,7.3833909034729,5.010806083679199,7.383391331655799
2002-01-28,7.0629801750183105,4.793355941772461,7.062979911614839
2002-01-29,7.096811771392822,4.816315650939941,7.0968108990475125
2002-01-30,7.080891132354736,4.805511474609375,7.080891012998717
2002-01-31,7.48289680480957,5.078336715698242,7.482897294318105
2002-02-01,7.375430107116699,5.0054030418396,7.375429983398279
2002-02-04,7.546582221984863,5.121556758880615,7.546581756829219
2002-02-05,7.542601108551025,5.118854999542236,7.542600731392177
2002-02-06,7.3993120193481445,5.021610736846924,7.399311920321156
2002-02-07,7.445085048675537,5.052676677703857,7.445087389298076
2002-02-08,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-11,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-12,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-13,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-14,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-15,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-18,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-19,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-20,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-21,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-22,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-25,7.492847919464111,5.085089206695557,7.492847047444463
2002-02-26,7.516729831695557,5.101297378540039,7.5167296869839015
2002-02-27,7.548572063446045,5.122906684875488,7.548570864314616
2002-02-28,7.562502861022949,5.132363319396973,7.562505155960821
2002-03-01,7.441104888916016,5.04997444152832,7.441105661244473
2002-03-04,7.570463180541992,5.137764930725098,7.570464396368657
2002-03-05,7.6799211502075195,5.21204948425293,7.679922220007005
2002-03-06,7.634148120880127,5.180984020233154,7.634147453646647
2002-03-07,7.662008762359619,5.199891567230225,7.66200760554032
2002-03-08,7.886894226074219,5.352513313293457,7.886894790972576
2002-03-11,7.851071834564209,5.328202247619629,7.851072588204821
2002-03-12,7.662008762359619,5.199891567230225,7.66200760554032
2002-03-13,7.610266208648682,5.1647772789001465,7.610266921956892
2002-03-14,7.685891151428223,5.216100692749023,7.6858916503128825
2002-03-15,7.546582221984863,5.121556758880615,7.546581756829219
2002-03-18,7.562502861022949,5.132363319396973,7.562505155960821
2002-03-19,7.71176290512085,5.233658790588379,7.711763397337719
2002-03-20,7.7555460929870605,5.263372421264648,7.755546245746434
2002-03-21,7.7455949783325195,5.256619453430176,7.745595790003515
2002-03-22,7.6699700355529785,5.205295562744141,7.669970359030963
2002-03-25,7.717732906341553,5.237711429595947,7.71773493549328
2002-03-26,7.602304935455322,5.159374713897705,7.602306276315933
2002-03-27,7.582404136657715,5.145868301391602,7.582404662213535
2002-03-28,7.564493179321289,5.133711814880371,7.564492155596534
2002-03-29,7.415233135223389,5.032415866851807,7.415233211603075
2002-04-01,7.48289680480957,5.078336715698242,7.482897294318105
2002-04-02,7.367469787597656,5.000000476837158,7.36746933775732
2002-04-03,7.359508991241455,4.994598865509033,7.359510097349483
2002-04-04,7.478917121887207,5.0756354331970215,7.478916971497626
2002-04-05,7.419212818145752,5.035118103027344,7.419214939656677
2002-04-08,7.363490104675293,4.997300624847412,7.363491122786524
2002-04-09,7.449065208435059,5.055377006530762,7.449066306885433
2002-04-10,7.459015846252441,5.062130928039551,7.4590181678614735
2002-04-11,7.461006164550781,5.063479423522949,7.461005167497187
2002-04-12,7.562502861022949,5.132363319396973,7.562505155960821
2002-04-15,7.5406107902526855,5.117505073547363,7.54061162390678
2002-04-16,7.614245891571045,5.167478084564209,7.61424654216081
2002-04-17,7.359508991241455,4.994598865509033,7.359510097349483
2002-04-18,7.242091178894043,4.914911270141602,7.242090925453615
2002-04-19,7.208259105682373,4.891950607299805,7.208258532787819
2002-04-22,7.20228910446167,4.887898921966553,7.20228839986538
2002-04-23,7.068950176239014,4.797407150268555,7.0689493419207166
2002-04-24,7.01322603225708,4.7595906257629395,7.013226930283686
2002-04-25,7.066959857940674,4.796057224273682,7.066960234435319
2002-04-26,7.16845703125,4.864938735961914,7.168456709816145
2002-04-29,7.234130859375,4.909509181976318,7.2341309824292175
2002-04-30,7.204278945922852,4.889251232147217,7.204281020433585
2002-05-01,7.204278945922852,4.889251232147217,7.204281020433585
2002-05-02,7.204278945922852,4.889251232147217,7.204281020433585
2002-05-03,7.204278945922852,4.889251232147217,7.204281020433585
2002-05-06,7.204278945922852,4.889251232147217,7.204281020433585
2002-05-07,7.204278945922852,4.889251232147217,7.204281020433585
2002-05-08,7.214230060577393,4.896003246307373,7.214230070943381
2002-05-09,7.170446872711182,4.866290092468262,7.170447925151228
2002-05-10,7.096811771392822,4.816315650939941,7.0968108990475125
