Date,英伟达,特斯拉,微软,亚马逊,Meta
2021-06-14,17.956642150878906,205.89666748046875,249.41558837890625,169.19349670410156,334.1477355957031
2021-06-15,17.72718620300293,199.7866668701172,247.9472198486328,169.156494140625,334.1279296875
2021-06-16,17.748859405517578,201.6233367919922,247.00674438476562,170.7624969482422,328.5020751953125
2021-06-17,18.592941284179688,205.53334045410156,250.3848419189453,174.46200561523438,333.8898620605469
2021-06-18,18.574501037597656,207.77000427246094,248.97413635253906,174.34500122070312,327.0931701660156
2021-06-21,18.36372947692871,206.94332885742188,252.04513549804688,172.697998046875,329.7026672363281
2021-06-22,18.82164192199707,207.90333557128906,254.80914306640625,175.27200317382812,336.3901672363281
2021-06-23,18.99155616760254,218.85667419433594,254.57876586914062,175.1909942626953,337.9380798339844
2021-06-24,19.139297485351562,226.60667419433594,255.94149780273438,172.45399475097656,340.50787353515625
2021-06-25,18.965396881103516,223.9566650390625,254.33883666992188,170.072998046875,338.7119445800781
2021-06-28,19.91611671447754,229.57333374023438,257.8897399902344,172.1945037841797,352.870849609375
2021-06-29,19.957721710205078,226.9199981689453,260.4616394042969,172.40699768066406,349.15008544921875
2021-06-30,19.933551788330078,226.56666564941406,259.98187255859375,172.00799560546875,345.0025939941406
2021-07-01,20.142332077026367,225.97332763671875,260.65362548828125,171.64849853515625,351.6306457519531
2021-07-02,20.4163818359375,226.3000030517578,266.4598083496094,175.5489959716797,351.9382019042969
2021-07-06,20.627155303955078,219.86000061035156,266.4694519042969,183.78700256347656,350.0330810546875
2021-07-07,20.301528930664062,214.88333129882812,268.6479187011719,184.82899475097656,347.7608947753906
2021-07-08,19.834144592285156,217.60333251953125,266.2391052246094,186.57049560546875,342.9586181640625
2021-07-09,19.98113250732422,218.98333740234375,266.7381286621094,185.9669952392578,347.6915283203125
2021-07-12,20.441791534423828,228.56666564941406,266.1430969238281,185.92750549316406,350.4101257324219
2021-07-13,20.180198669433594,222.84666442871094,269.65557861328125,183.8679962158203,349.34844970703125
2021-07-14,19.77310562133789,217.7933349609375,271.12396240234375,184.08399963378906,344.9231872558594
